代码,名称,买入价,当前价,收益率%,持有天数,状态,止盈价,止损价,技术评分,RSI,资金评分,卖出原因
600584,长电科技,58.05,58.05,6.89,0,新增推荐,66.76,56.31,50,50,50,
600078,澄星股份,15.47,15.47,6.62,0,新增推荐,17.79,15.01,50,50,50,
002531,天顺风能,12.44,12.44,6.6,0,新增推荐,14.31,12.07,50,50,50,
603662,柯力传感,64.02,64.02,6.01,0,新增推荐,73.62,62.1,50,50,50,
002527,新时达,13.73,13.73,4.73,0,新增推荐,15.79,13.32,50,50,50,
603127,昭衍新药,39.96,39.96,5.3,0,新增推荐,45.95,38.76,50,50,50,
603986,兆易创新,375.34,375.34,5.38,0,新增推荐,431.64,364.08,50,50,50,
002050,三花智控,52.06,52.06,5.32,0,新增推荐,59.87,50.5,50,50,50,
603486,科沃斯,65.15,65.15,5.25,0,新增推荐,74.92,63.2,50,50,50,
603179,新泉股份,74.31,74.31,4.96,0,新增推荐,85.46,72.08,50,50,50,
600048,保利发展,6.39,6.21,-2.82,11,holding,6.9,6.2,,,,
300124,汇川技术,75.55,77.32,2.34,10,holding,79.33,73.28,,,,
688205,德科立,255.9,266.01,3.95,10,holding,268.69,248.22,,,,
300400,劲拓股份,30.31,30.6,0.96,9,holding,31.83,29.4,,,,
688165,埃夫特,19.72,20.43,3.60,9,holding,20.71,19.13,,,,
600584,长电科技,58.05,58.05,0.00,0,holding,66.76,56.31,,,,
600078,澄星股份,15.47,15.47,0.00,0,holding,17.79,15.01,,,,
002531,天顺风能,12.44,12.44,0.00,0,holding,14.31,12.07,,,,
603662,柯力传感,64.02,64.02,0.00,0,holding,73.62,62.1,,,,
002527,新时达,13.73,13.73,0.00,0,holding,15.79,13.32,,,,
603127,昭衍新药,39.96,39.96,0.00,0,holding,45.95,38.76,,,,
603986,兆易创新,375.34,375.34,0.00,0,holding,431.64,364.08,,,,
002050,三花智控,52.06,52.06,0.00,0,holding,59.87,50.5,,,,
603486,科沃斯,65.15,65.15,0.00,0,holding,74.92,63.2,,,,
603179,新泉股份,74.31,74.31,0.00,0,holding,85.46,72.08,,,,
601669,中国电建,5.636666666666667,5.76,2.19,38,take_profit,5.9185,5.4675666666666665,,,,持仓期满 (38天 >= 14天)
000793,*ST华闻,2.7133333333333334,2.78,2.46,37,take_profit,2.849,2.6319333333333335,,,,持仓期满 (37天 >= 14天)
001979,招商蛇口,8.85,9.07,2.49,30,take_profit,9.56,8.58,,,,持仓期满 (30天 >= 14天)
601939,建设银行,9.73,9.82,0.92,27,take_profit,10.51,9.44,,,,持仓期满 (27天 >= 14天)
600383,金地集团,2.87,2.87,0.00,18,take_profit,3.1,2.78,,,,持仓期满 (18天 >= 14天)
600887,伊利股份,26.57,27.61,3.91,18,take_profit,28.7,25.77,,,,持仓期满 (18天 >= 14天)
000536,华映科技,4.38,3.91,-10.73,39,stop_loss,4.599,4.2486,,,,止损触发 (亏损-10.7%)
603334,丰倍生物,53.0,47.72,-9.96,38,stop_loss,55.650000000000006,51.41,,,,止损触发 (亏损-10.0%)
001390,古麒绒材,21.88,19.94,-8.87,38,stop_loss,22.974,21.223599999999998,,,,止损触发 (亏损-8.9%)
600151,航天机电,14.47,14.08,-2.70,38,stop_loss,15.193500000000002,14.0359,,,,持仓期满 (38天 >= 14天)
601788,光大证券,15.226666666666667,14.95,-1.82,38,stop_loss,15.988000000000001,14.769866666666665,,,,持仓期满 (38天 >= 14天)
600325,华发股份,3.4366666666666665,3.31,-3.69,38,stop_loss,3.6085,3.3335666666666666,,,,止损触发 (亏损-3.7%)
600170,上海建工,2.7266666666666666,2.65,-2.81,38,stop_loss,2.863,2.6448666666666667,,,,持仓期满 (38天 >= 14天)
000725,京东方Ａ,4.19,4.14,-1.19,27,stop_loss,4.53,4.06,,,,持仓期满 (27天 >= 14天)
002415,海康威视,34.51,33.12,-4.03,27,stop_loss,37.27,33.47,,,,止损触发 (亏损-4.0%)
600438,通威股份,18.24,16.25,-10.91,27,stop_loss,19.7,17.69,,,,止损触发 (亏损-10.9%)
300014,亿纬锂能,71.92,65.78,-8.54,26,stop_loss,77.67,69.76,,,,止损触发 (亏损-8.5%)
300750,宁德时代,448.25,423.6,-5.50,26,stop_loss,484.11,434.8,,,,止损触发 (亏损-5.5%)
601899,紫金矿业,35.61,31.84,-10.59,26,stop_loss,38.46,34.54,,,,止损触发 (亏损-10.6%)
601688,华泰证券,19.39,18.52,-4.49,25,stop_loss,20.94,18.81,,,,止损触发 (亏损-4.5%)
601857,中国石油,11.81,11.51,-2.54,24,stop_loss,12.75,11.46,,,,持仓期满 (24天 >= 14天)
601088,中国神华,46.96,45.7,-2.68,24,stop_loss,50.72,45.55,,,,持仓期满 (24天 >= 14天)
000963,华东医药,35.18,31.3,-11.03,23,stop_loss,37.99,34.12,,,,止损触发 (亏损-11.0%)
600519,贵州茅台,1458.49,1332.95,-8.61,23,stop_loss,1575.17,1414.74,,,,止损触发 (亏损-8.6%)
002594,比亚迪,102.28,96.3,-5.85,20,stop_loss,110.46,99.21,,,,止损触发 (亏损-5.8%)
600118,中国卫星,114.18,95.82,-16.08,9,stop_loss,119.89,110.75,,,,止损触发 (亏损-16.1%)
002491,通鼎互联,15.2,22.59,48.62,39,partial_sell,15.959999999999999,14.744,,,,阶梯止盈第1档 (+5.0% 卖出30%)
000949,新乡化纤,7.31,8.28,13.27,38,partial_sell,7.6754999999999995,7.090699999999999,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600509,天富能源,7.78,10.03,28.92,37,partial_sell,8.169,7.5466,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600159,大龙地产,2.876666666666667,3.22,11.94,34,partial_sell,3.0205,2.790366666666667,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600111,北方稀土,50.89,53.78,5.68,27,partial_sell,54.96,49.36,,,,阶梯止盈第1档 (+5.0% 卖出30%)
688008,澜起科技,209.91,247.98,18.14,10,partial_sell,220.41,203.61,,,,阶梯止盈第1档 (+5.0% 卖出30%)
600345,长江通信,52.23,55.09,5.48,10,partial_sell,54.84,50.66,,,,阶梯止盈第1档 (+5.0% 卖出30%)
300672,国科微,201.0,235.63,17.23,10,partial_sell,211.05,194.97,,,,阶梯止盈第1档 (+5.0% 卖出30%)
688432,有研硅,17.88,18.81,5.20,9,partial_sell,18.77,17.34,,,,阶梯止盈第1档 (+5.0% 卖出30%)
